PROC_NAME,PRCS_OWNER,USER_COUNT,RUN_COUNT,AVG_RUN_TIME
ORGCHART [SQR-P],PS,1,1,6
SJ_CC_PINGEN [AE],SJSU,1,8534,17.8
3CENGINE [AE],PS,3,2986,81.7
SJSF004 [SQR-R],SJSU,1,303,54.7
CSUAD116 [SQR-R],CSU,3,415,15.7
SCC_SI_ASSN [AE],PS,29,645,15.4
CSUAD002 [SQR-R],CSU,1,13,28.4
SRTRMAC [SQR-R],PS,1,425,66
CSUCC000 [SQR-R],CSU,1,597,12.6
CSU_PERCK_AE [AE],CSU,1,358,412.8
CSU_ESP_UPD [AE],CSU,2,39,510.6
SJGL004 [SQR-P],SJSU,1,360,12.6
SJUT054 [SQR-P],SJSU,1,355,373.3
TL_SUBMITALL [AE],PS,1,255,11.9
CCSEVDWN [SQR-R],PS,1,1146,12.8
SJFA013 [SQR-P],SJSU,1,69,27.7
SJCC013 [SQR-P],SJSU,1,52,695
FA860 [CR],PS,3,26,144.1
CSUBB006 [SQR-R],CSU,2,82,13.8
CSUBASNR [JOB],CSU,1,4,866.3
SJSA003 [SQR-P],SJSU,1,1,14
SJSR111 [SQR-R],SJSU,2,7,774.7
SJFA116 [SQR-R],SJSU,1,7,62.4
SJSF068 [SQR-R],SJSU,1,12,14
CSUBE01E [SQR-R],CSU,1,14,62.2
CSUTL09A [SQR-R],CSU,3,11,808.1
SJSR046 [SQR-R],SJSU,1,1,258
CSUFA008 [SQR-R],CSU,1,59,98.4
CSU_APDB_SED [AE],CSU,2,59,34.2
SRWLPURG [SQR-R],PS,1,8,61.4
CSU_MCS_PMT [AE],CSU,1,45,69.2
SJSR089 [SQR-R],SJSU,1,73,12.8
CSU_EO_RPT [AE],CSU,1,2,7196.5
SJCO009 [SQR-R],SJSU,1,4,266.5
SJSF053 [SQR-R],SJSU,1,1,15
SJUT033 [SQR-R],SJSU,1,3,220
SJBE02G [SQR-R],SJSU,1,7,14.6
CSU_EO_PS_AE [AE],CSU,1,1,28
SJ_ATG_LKPLD [AE],SJSU,1,2,28
SJCC022 [SQR-P],SJSU,1,1,108
SJSR084 [SQR-P],SJSU,1,1,14
SSR_GRAD_RPT [AE],PS,1,1,180
PTCRVAL [CR],PS,1,3,7.7
AEMINITEST [AE],PS,1,1,9
SJSF045 [SQR-R],SJSU,2,2,1222.5
SJUT051 [SQR-P],SJSU,1,1123,150
SR505 [SQR-R],PS,1,359,12.4
SJUT025 [SQR-P],SJSU,1,258,12.7
SJ_SCRTY_RST [AE],SJSU,1,361,11.2
SCRTY_SJTUPD [AE],PS,1,352,433
SJSR079 [SQR-R],SJSU,135,6598,13.9
SJSF057 [SQR-R],SJSU,1,510,12.4
CSULCD60 [SQR-R],CSU,2,254,36.8
SJFA110 [SQR-R],SJSU,1,814,73.6
CCSEVEXT [SQR-R],PS,1,578,12.1
CSUAD117 [SQR-R],CSU,3,408,15.7
SJSF030 [SQR-R],SJSU,2,359,36.1
SJSF081 [SQR-R],SJSU,2,570,12.3
SJFA012 [SQR-P],SJSU,2,361,12.3
SJBAS [JOB],SJSU,3,94,717.8
SCRTY_SJTDLY [AE],PS,1,705,11.2
SJECM [JOB],SJSU,6,671,78.1
FAPDLOUT [CBL],PS,3,520,31.2
SCC_POP_UPD [AE],PS,5,140,56.9
CSUCC001 [SQR-R],CSU,1,591,13.2
SJUT019 [SQR-R],SJSU,1,360,691.2
PRCSSRVCLN [AE],PS,1,51,94.4
CSUTL011 [SQR-R],CSU,6,187,14.1
SJTF011 [SQR-R],SJSU,21,231,14
XRFWIN2 [SQR-R],PS,1,42,14.3
SJSR031 [SQR-P],SJSU,1,257,105
SJBAS009 [SQR-R],SJSU,5,548,14.9
SCCFP_PARSE [AE],PS,1,296,118.9
HR_UPD_INCMB [AE],PS,4,19,50.9
SJTF002 [SQR-R],SJSU,21,96,13.9
CSUBE02G [SQR-R],CSU,6,161,10.9
CSUBB012 [SQR-R],CSU,2,14,143.7
SJBAS003 [SQR-R],SJSU,5,177,14.2
CSUHR003 [SQR-R],CSU,3,16,18.3
CSU_ESP_DFLT [AE],CSU,1,4,154
